UniqueID      Time          Wavelength    L_lambda      L_l_neb       
              (yr)          (Angstrom)    (erg/s/A)     (erg/s/A)     
-----------   -----------   -----------   -----------   -----------   
          1   5.00000e+05   2.53500e+03   1.66737e+38   1.93169e+38
          1   5.00000e+05   2.54500e+03   1.64130e+38   1.90722e+38
          1   5.00000e+05   2.55500e+03   1.62477e+38   1.89233e+38
          1   5.00000e+05   2.56500e+03   1.60373e+38   1.87296e+38
          1   5.00000e+05   2.57500e+03   1.58592e+38   1.85685e+38
          1   5.00000e+05   2.58500e+03   1.56615e+38   1.83881e+38
          1   5.00000e+05   2.59500e+03   1.54417e+38   1.81859e+38
          1   5.00000e+05   2.60500e+03   1.52428e+38   1.78441e+38
          1   5.00000e+05   2.61500e+03   1.50258e+38   1.76439e+38
          1   5.00000e+05   2.62500e+03   1.48585e+38   1.74938e+38
          1   5.00000e+05   2.63500e+03   1.46886e+38   1.73413e+38
